"id","text","category","level","theme","peopleMin","place","photoOk","active","bonus","tags","note"
"17","Embarque quelqu'un dans un jeu (ex : imitation, regard, mini dÃ©fi, chifoumiâ€¦)","ENTRAÃŽNE","2","festival","2","general","True","True","False","jeu|duo",""
"18","Fais une visite guidÃ©e du lieu avec 2 personnes (Ã  ta maniÃ¨re)","ENTRAÃŽNE","5","festival","3","general","True","True","False","collectif|impro",""
"19","Lance un saut collectif dans la piscine","ENTRAÃŽNE","8","festival","2","pool","True","True","False","piscine|collectif","piscine"
"20","Trouve quelqu'un seul et reste avec lui (Ã©coute vraiment)","RESSENS","2","festival","1","general","True","True","False","Ã©coute|prÃ©sence",""
"21","Demande Ã  quelqu'un ce qu'il aime vraiment (ex : passion, moment prÃ©fÃ©rÃ©)","RESSENS","3","festival","1","general","True","True","False","Ã©coute|vrai",""
"22","Fais un compliment sincÃ¨re (pas gÃ©nÃ©rique)","RESSENS","1","festival","1","general","True","True","False","compliment",""
"23","Complimente un bÃ©nÃ©vole (remercie-le vraiment)","RESSENS","5","festival","1","general","True","True","False","gratitude|bÃ©nÃ©vole",""
"24","Parle de quelque chose de vrai (ex : pourquoi tu es lÃ )","RESSENS","3","festival","1","general","True","True","False","vrai|partage",""
"25","Fais sourire quelqu'un (ex : regard, geste, mot simple)","RESSENS","1","festival","1","general","True","True","False","simple|sourire",""
"26","RamÃ¨ne un verre d'eau Ã  quelqu'un qui en a besoin","RESSENS","1","festival","1","general","True","True","False","attention|aide",""
"27","Partage un moment calme avec quelqu'un (Ã  l'Ã©cart ou posÃ©)","RESSENS","3","festival","1","general","True","True","False","calme|prÃ©sence",""
"28","Partage quelque chose Ã  manger avec quelqu'un","RESSENS","3","festival","1","general","True","True","False","partage",""
"29","Fais un cadeau Ã  quelqu'un (mÃªme symbolique)","RESSENS","5","festival","1","general","True","True","False","cadeau|attention",""
"30","CrÃ©e un duo (ex : mini danse, pose, dÃ©lire commun)","LIEN","2","festival","2","general","True","True","False","duo|lien",""
"31","CrÃ©e un trio (ex : nom + pose d'Ã©quipe)","LIEN","2","festival","3","general","True","True","False","trio|lien",""
"32","PrÃ©sente deux personnes (comme dans une Ã©mission)","LIEN","2","festival","3","general","True","True","False","rencontre|lien",""
"33","Fais rencontrer deux inconnus (et lance un Ã©change)","LIEN","2","festival","3","general","True","True","False","rencontre|lien",""
"34","CrÃ©e une rencontre entre 2 inconnus et reste un moment avec eux","LIEN","2","festival","3","general","True","True","False","rencontre|prÃ©sence",""
"35","Apprends quelque chose Ã  quelqu'un (ex : mouvement, jeu)","LIEN","2","festival","2","general","True","True","False","transmission|lien",""
"36","Trouve 3 points communs avec quelqu'un (rapide)","LIEN","2","festival","2","general","True","True","False","duo|Ã©change",""
"37","CrÃ©e une poignÃ©e de main (simple et unique)","LIEN","2","festival","2","general","True","True","False","duo|jeu",""
"38","Fais quelque chose ensemble (ex : danser, jouer, poser)","LIEN","2","festival","2","general","True","True","False","action|lien",""
"39","Bouge au ralenti (et entraÃ®ne 1â€“2 personnes)","JOUE","1","festival","1","general","True","True","False","jeu|corps",""
"40","Fige-toi comme une statue (et vois si d'autres suivent)","JOUE","1","festival","1","general","True","True","False","jeu|corps",""
"41","Cache-toi en pleine piste (quelques secondes)","JOUE","4","festival","1","general","True","True","False","absurde|fun",""
"42","Invente une autre vie (ex : mÃ©tier improbable)","JOUE","4","festival","1","general","True","True","False","impro|absurde",""
"43","Fais chanter quelqu'un (objet = micro)","JOUE","4","festival","1","general","True","True","False","jeu|impro",""
"44","CrÃ©e une scÃ¨ne avec quelqu'un (ex : dispute, rencontre)","JOUE","4","festival","2","general","True","True","False","impro|duo",""
"45","Fais quelque chose d'absurde Ã  plusieurs (ex : marcher bizarrement)","JOUE","4","festival","2","general","True","True","False","absurde|collectif",""
"46","Transforme une situation en jeu (ex : danse â†’ dÃ©fi)","JOUE","4","festival","1","general","True","True","False","jeu|impro",""
"47","CrÃ©e un cercle et lance un battle de danse","JOUE","4","festival","3","general","True","True","False","danse|collectif",""
"48","Trouve une personne qui connaÃ®t le jeu du ninja et demande-lui une dÃ©mo","JOUE","4","festival","2","general","True","True","False","jeu|rencontre",""
"49","Fais une photo originale avec plusieurs personnes","JOUE","4","festival","2","general","True","True","False","photo|collectif",""
"50","Va au mur d'expression et ajoute quelque chose en collaboration (dessin, motâ€¦)","JOUE","1","festival","1","expression_wall","True","True","False","mur|expression",""
"51","Invite quelqu'un Ã  participer au mur d'expression","JOUE","1","festival","1","expression_wall","True","True","False","mur|invitation",""
"52","CrÃ©e une course : objectif traverser le plus vite possible la piscine","JOUE","8","festival","2","pool","True","True","False","piscine|dÃ©fi","piscine"
"53","Fais une action synchronisÃ©e dans l'eau","JOUE","8","festival","2","pool","True","True","False","piscine|collectif","piscine"
"54","Trouve Double Faceâ€¦ il a quelque chose Ã  te proposer !","BONUS","0","festival","1","general","True","True","True","bonus","bonus"
"55","Propose un 2 vÃ©ritÃ©s, 1 mensonge (dire 3 phrases sur soi, faire deviner le mensonge)","JOUE","4","festival","2","general","True","True","False","jeu|duo",""
"56","Lance un action ou vÃ©ritÃ©","JOUE","4","festival","2","general","True","True","False","jeu|duo",""
"57","Propose un je n'ai jamaisâ€¦ (3 tours)","JOUE","4","festival","2","general","True","True","False","jeu|collectif",""
"58","Invente un jeu avec une rÃ¨gle cachÃ©e","JOUE","4","festival","2","general","True","True","False","jeu|impro",""
"59","Transforme une discussion en jeu","JOUE","4","festival","2","general","True","True","False","jeu|impro",""
"60","Joue comme si tu tournais un clip","JOUE","4","festival","2","general","True","True","False","impro|duo",""
"61","Marche comme si tu Ã©tais dans un autre monde","JOUE","4","festival","1","general","True","True","False","impro|absurde",""
"62","Invente une pub ridicule avec quelqu'un","JOUE","4","festival","2","general","True","True","False","impro|duo",""
"63","Incarne un personnage pendant 1 min","JOUE","4","festival","1","general","True","True","False","impro|absurde",""
"64","Fais semblant de connaÃ®tre quelqu'un depuis longtemps","JOUE","4","festival","2","general","True","True","False","impro|duo",""
"65","CrÃ©e une photo figÃ©e comme une scÃ¨ne de film","JOUE","4","festival","2","general","True","True","False","photo|collectif",""
"66","Construis un texte cohÃ©rent Ã  plusieurs au mur d'expression (une phrase chacun)","JOUE","4","festival","1","expression_wall","True","True","False","mur|expression",""
"67","Lance un effet domino (5 pers min)","ENTRAÃŽNE","5","festival","5","general","True","True","False","collectif|fun",""
"68","CrÃ©e une chorÃ© Ã  plusieurs dans l'eau","JOUE","5","festival","3","pool","True","True","False","piscine|collectif","piscine"
"69","Fais reproduire un mouvement par d'autres dans l'eau","JOUE","5","festival","2","pool","True","True","False","piscine|collectif","piscine"
"70","CrÃ©e une photo vivante dans l'eau","JOUE","5","festival","2","pool","True","True","False","piscine|photo","piscine"
"71","Prends une photo avec le plus de monde possible dans un espace exigu","JOUE","5","festival","3","general","True","True","False","photo|collectif",""
"72","Forme un cercle et lance une danse commune","JOUE","5","festival","3","general","True","True","False","danse|collectif",""
"73","Convaincs un groupe de faire une action ensemble","ENTRAÃŽNE","5","festival","3","general","True","True","False","collectif|lien",""
"74","Compose une mini chorÃ© avec 3 inconnus","JOUE","5","festival","3","general","True","True","False","danse|collectif",""
"75","Organise un tÃ©lÃ©phone arabe en mode danse (en ligne : chacun refait le mouvement jusqu'au dernier)","JOUE","5","festival","4","general","True","True","False","danse|collectif",""
"76","Fais sauter 5 personnes en mÃªme temps","ENTRAÃŽNE","5","festival","5","general","True","True","False","collectif|fun",""
